Nom base français;Code de la catégorie;Unité français;Localisation géographique;Total poste non décomposé
Autobus;Transport de personnes > Routier > Autobus - Autocar > Par type de motorisation;kgCO2e/passager.km;France continentale;0.041116
Autobus moyen;Transport de personnes > Routier > Autobus - Autocar > Moyenne (Parc) - Toutes motorisations;kgCO2e/passager.km;France continentale;0.11117777777777779
Autocar;Transport de personnes > Routier > Autobus - Autocar > Par type de motorisation;kgCO2e/passager.km;France continentale;0.01879
Avion passagers;Transport de personnes > Aérien > Par capacité d'avion > Capacité 101-220 sièges : détail par kms parcourus;kgCO2e/passager.km;France continentale;0.0718998222222222
Avion passagers;Transport de personnes > Aérien > Par capacité d'avion > Capacité 20-50 sièges : détail par kms parcourus;kgCO2e/passager.km;France continentale;0.18829797222222225
Avion passagers;Transport de personnes > Aérien > Par capacité d'avion > Capacité 51-100 sièges : détail par kms parcourus;kgCO2e/passager.km;France continentale;0.10704972222222217
Avion passagers;Transport de personnes > Aérien > Par capacité d'avion > Capacité >220 sièges : détail par kms parcourus;kgCO2e/passager.km;France continentale;0.07639683333333333
Intercités;Transport de personnes > Ferroviaire > France continentale > Intercités;kgCO2e/passager.km;France continentale;0.0043525
Métro;Transport de personnes > Ferroviaire > France continentale > Métro, tramway, RER, transilien (Ile de France);kgCO2e/passager.km;France continentale;0.0018482000000000001
Métro, tramway, trolleybus;Transport de personnes > Ferroviaire > France continentale > Métro, tramway (autres villes);kgCO2e/passager.km;France continentale;0.00208
Navette fluviale;Transport de personnes > Fluvial;kgCO2e/passager.km;France continentale;0.042866666666666664
Navette inter-îles;Transport de personnes > Maritime > DOM COM;kgCO2e/passager.km;France continentale;0.20514444444444443
RER et transilien;Transport de personnes > Ferroviaire > France continentale > Métro, tramway, RER, transilien (Ile de France);kgCO2e/passager.km;France continentale;0.004265
Télécabine;Transport de personnes > Transport guidé;kgCO2e/passager.km;France continentale;0.019666666666666666
TER;Transport de personnes > Ferroviaire > France continentale > TER;kgCO2e/passager.km;France continentale;0.015035
TGV;Transport de personnes > Ferroviaire > France continentale > TGV;kgCO2e/passager.km;France continentale;0.0013949999999999998
Train de voyageurs;Transport de personnes > Ferroviaire > Corse;kgCO2e/passager.km;Outre-mer et Corse;0.0959475
Train de voyageurs;Transport de personnes > Ferroviaire > Autres pays du monde;kgCO2e/passager.km;Outre-mer et Corse;0.187
Train de voyageurs;Transport de personnes > Ferroviaire > Autres pays du monde;kgCO2e/passager.km;Autre pays du monde;0.04969625000000001
Train grandes lignes;Transport de personnes > Ferroviaire > France continentale > Intercités;kgCO2e/passager.km;France continentale;0.0030624999999999997
Tramway;Transport de personnes > Ferroviaire > France continentale > Métro, tramway, RER, transilien (Ile de France);kgCO2e/passager.km;France continentale;0.0017829
Voiture E85;Transport de personnes > Routier > Voiture particulière > Par usage (courte distance, longue distance, mixte) - toutes motorisations;kgCO2e/passager.km;France continentale;0.05264166666666666
Voiture essence;Transport de personnes > Routier > Voiture particulière > Par usage (courte distance, longue distance, mixte) - toutes motorisations;kgCO2e/passager.km;France continentale;0.08024166666666666
Voiture gazole;Transport de personnes > Routier > Voiture particulière > Par usage (courte distance, longue distance, mixte) - toutes motorisations;kgCO2e/passager.km;France continentale;0.07244166666666667
Voiture GNV;Transport de personnes > Routier > Voiture particulière > Par usage (courte distance, longue distance, mixte) - toutes motorisations;kgCO2e/passager.km;France continentale;0.07489166666666666
Voiture GPL;Transport de personnes > Routier > Voiture particulière > Par usage (courte distance, longue distance, mixte) - toutes motorisations;kgCO2e/passager.km;France continentale;0.06779999999999999
Voiture moyenne;Transport de personnes > Routier > Voiture particulière > Par usage (courte distance, longue distance, mixte) - toutes motorisations;kgCO2e/passager.km;France continentale;0.07525833333333333
